2024-06-15 12:05:45.768 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718453145.7685564
2024-06-15 12:07:19.598 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453239.5983014
2024-06-15 12:07:26.074 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453246.074484
2024-06-15 12:07:26.358 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453246.3583794
2024-06-15 12:07:26.370 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-686c47c5b6-s79lq, Namespace: default, Node: minikube-m02, Timestamp: 1718453246.3708243
2024-06-15 12:07:35.416 Event: Pod Created, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: None, Timestamp: 1718453255.4165585
2024-06-15 12:07:35.428 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453255.4283752
2024-06-15 12:07:35.451 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453255.4511504
2024-06-15 12:07:41.173 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453261.1736033
2024-06-15 12:07:41.186 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453261.186801
2024-06-15 12:07:45.473 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453265.4739466
2024-06-15 12:08:05.772 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453285.772443
2024-06-15 12:08:15.685 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453295.685221
2024-06-15 12:08:16.293 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453296.2939548
2024-06-15 12:08:16.304 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7ff6c74f5d-8phjz, Namespace: default, Node: minikube-m03, Timestamp: 1718453296.3045564
2024-06-15 12:08:29.599 Event: Pod Created, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: None, Timestamp: 1718453309.5992026
2024-06-15 12:08:29.620 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453309.6199975
2024-06-15 12:08:29.654 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453309.6544964
2024-06-15 12:08:31.341 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453311.3414114
2024-06-15 12:08:31.365 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453311.3654978
2024-06-15 12:08:35.690 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453315.690339
2024-06-15 12:08:59.958 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453339.958827
2024-06-15 12:09:05.905 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453345.9057148
2024-06-15 12:09:06.456 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453346.4563174
2024-06-15 12:09:06.467 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-768f64c587-glpgc, Namespace: default, Node: minikube-m03, Timestamp: 1718453346.4669857
2024-06-15 12:09:26.826 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: None, Timestamp: 1718453366.8260403
2024-06-15 12:09:26.838 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453366.838674
2024-06-15 12:09:26.858 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453366.8579898
2024-06-15 12:09:28.540 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453368.5402277
2024-06-15 12:09:28.554 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453368.554732
2024-06-15 12:09:31.712 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453371.7126296
2024-06-15 12:09:57.192 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453397.1920466
2024-06-15 12:10:01.983 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453401.9834218
2024-06-15 12:10:02.638 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453402.638849
2024-06-15 12:10:02.650 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6c5847566f-mmfsv, Namespace: default, Node: minikube-m03, Timestamp: 1718453402.6506615
2024-06-15 12:10:14.957 Event: Pod Created, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: None, Timestamp: 1718453414.9578454
2024-06-15 12:10:14.969 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453414.969182
2024-06-15 12:10:14.997 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453414.9973485
2024-06-15 12:10:15.904 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453415.9048622
2024-06-15 12:10:15.922 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453415.9223757
2024-06-15 12:10:21.699 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453421.6996698
2024-06-15 12:10:45.296 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453445.296098
2024-06-15 12:10:51.938 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453451.938946
2024-06-15 12:10:52.040 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453452.040737
2024-06-15 12:10:52.055 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-569f896fcd-wk8nx, Namespace: default, Node: minikube-m02, Timestamp: 1718453452.0558877
2024-06-15 12:11:06.159 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: None, Timestamp: 1718453466.1592457
2024-06-15 12:11:06.170 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453466.1709337
2024-06-15 12:11:06.194 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453466.1939998
2024-06-15 12:11:06.287 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: None, Timestamp: 1718453466.2876937
2024-06-15 12:11:06.296 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: None, Timestamp: 1718453466.2966275
2024-06-15 12:11:06.300 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: None, Timestamp: 1718453466.300486
2024-06-15 12:11:06.303 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453466.3034883
2024-06-15 12:11:06.313 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453466.3131921
2024-06-15 12:11:06.315 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453466.3159451
2024-06-15 12:11:06.318 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: None, Timestamp: 1718453466.3182948
2024-06-15 12:11:06.326 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453466.3266947
2024-06-15 12:11:06.329 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453466.329644
2024-06-15 12:11:06.335 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453466.3354635
2024-06-15 12:11:06.339 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453466.3391294
2024-06-15 12:11:06.356 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453466.3568912
2024-06-15 12:11:07.938 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453467.938236
2024-06-15 12:11:07.954 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453467.954341
2024-06-15 12:11:08.134 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453468.1349182
2024-06-15 12:11:08.150 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453468.1500578
2024-06-15 12:11:12.983 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453472.9831767
2024-06-15 12:11:12.993 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453472.993505
2024-06-15 12:11:13.006 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453473.0066
2024-06-15 12:11:14.102 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453474.1026938
2024-06-15 12:11:14.117 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453474.1171823
2024-06-15 12:11:18.070 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453478.0701597
2024-06-15 12:11:18.074 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453478.0748487
2024-06-15 12:11:18.079 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453478.078997
2024-06-15 12:11:18.083 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453478.0830195
2024-06-15 12:11:18.086 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453478.0862463
2024-06-15 12:11:46.493 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453506.493751
2024-06-15 12:11:46.629 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453506.6297984
2024-06-15 12:11:46.635 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453506.6352098
2024-06-15 12:11:46.652 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453506.6524708
2024-06-15 12:11:46.664 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453506.6645005
2024-06-15 12:11:48.360 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453508.3604946
2024-06-15 12:11:48.422 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453508.4224396
2024-06-15 12:11:48.434 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453508.4342182
2024-06-15 12:11:48.459 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453508.459163
2024-06-15 12:11:48.467 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453508.4672008
2024-06-15 12:11:49.072 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453509.0727708
2024-06-15 12:11:49.083 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-qhj9z, Namespace: default, Node: minikube-m03, Timestamp: 1718453509.0837753
2024-06-15 12:11:49.142 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453509.1427202
2024-06-15 12:11:49.154 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-k948k, Namespace: default, Node: minikube-m04, Timestamp: 1718453509.154574
2024-06-15 12:11:49.176 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453509.1762295
2024-06-15 12:11:49.186 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-5hqtl, Namespace: default, Node: minikube-m04, Timestamp: 1718453509.1866453
2024-06-15 12:11:49.228 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453509.2289035
2024-06-15 12:11:49.239 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-cxf7z, Namespace: default, Node: minikube, Timestamp: 1718453509.2393112
2024-06-15 12:11:49.312 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5c5c948c66-mm8zb, Namespace: default, Node: minikube-m02, Timestamp: 1718453509.3128107
2024-06-15 12:11:55.717 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: None, Timestamp: 1718453515.717843
2024-06-15 12:11:55.727 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: minikube-m02, Timestamp: 1718453515.7278497
2024-06-15 12:11:55.754 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: minikube-m02, Timestamp: 1718453515.7542198
2024-06-15 12:11:55.833 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5dc8b87f8-hbnkw, Namespace: default, Node: None, Timestamp: 1718453515.833166
2024-06-15 12:11:55.844 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-hbnkw, Namespace: default, Node: minikube-m03, Timestamp: 1718453515.8447156
2024-06-15 12:11:55.848 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5dc8b87f8-fg8bm, Namespace: default, Node: None, Timestamp: 1718453515.8486962
2024-06-15 12:11:55.851 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bn8kl, Namespace: default, Node: None, Timestamp: 1718453515.8510778
2024-06-15 12:11:55.853 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bn8kl, Namespace: default, Node: minikube, Timestamp: 1718453515.8532045
2024-06-15 12:11:55.862 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bp8gz, Namespace: default, Node: None, Timestamp: 1718453515.8628795
2024-06-15 12:11:55.866 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-fg8bm, Namespace: default, Node: minikube-m04, Timestamp: 1718453515.8661668
2024-06-15 12:11:55.868 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-hbnkw, Namespace: default, Node: minikube-m03, Timestamp: 1718453515.8687022
2024-06-15 12:11:55.875 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bp8gz, Namespace: default, Node: minikube-m03, Timestamp: 1718453515.8750288
2024-06-15 12:11:55.877 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bn8kl, Namespace: default, Node: minikube, Timestamp: 1718453515.8779328
2024-06-15 12:11:55.890 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-fg8bm, Namespace: default, Node: minikube-m04, Timestamp: 1718453515.8907874
2024-06-15 12:11:55.894 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bp8gz, Namespace: default, Node: minikube-m03, Timestamp: 1718453515.894838
2024-06-15 12:11:57.105 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bp8gz, Namespace: default, Node: minikube-m03, Timestamp: 1718453517.1058984
2024-06-15 12:11:57.120 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-hbnkw, Namespace: default, Node: minikube-m03, Timestamp: 1718453517.1209352
2024-06-15 12:11:57.140 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bp8gz, Namespace: default, Node: minikube-m03, Timestamp: 1718453517.140788
2024-06-15 12:11:57.179 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-fg8bm, Namespace: default, Node: minikube-m04, Timestamp: 1718453517.1791987
2024-06-15 12:11:57.202 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-fg8bm, Namespace: default, Node: minikube-m04, Timestamp: 1718453517.2026222
2024-06-15 12:11:57.257 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bn8kl, Namespace: default, Node: minikube, Timestamp: 1718453517.2575643
2024-06-15 12:11:57.270 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bn8kl, Namespace: default, Node: minikube, Timestamp: 1718453517.270945
2024-06-15 12:11:57.345 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: minikube-m02, Timestamp: 1718453517.3449862
2024-06-15 12:11:57.366 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: minikube-m02, Timestamp: 1718453517.3663607
2024-06-15 12:12:05.205 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-fg8bm, Namespace: default, Node: minikube-m04, Timestamp: 1718453525.2050757
2024-06-15 12:12:05.208 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: minikube-m02, Timestamp: 1718453525.2083209
2024-06-15 12:12:05.236 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-hbnkw, Namespace: default, Node: minikube-m03, Timestamp: 1718453525.2368522
2024-06-15 12:12:05.261 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bn8kl, Namespace: default, Node: minikube, Timestamp: 1718453525.2617009
2024-06-15 12:12:05.294 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-bp8gz, Namespace: default, Node: minikube-m03, Timestamp: 1718453525.2941287
2024-06-15 12:12:26.054 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5dc8b87f8-xsw5b, Namespace: default, Node: minikube-m02, Timestamp: 1718453546.054083
